dimension,sv_20k,sv_50k_original,sv_50k_aligned,absolute_change,relative_change_%,energy_20k_%,energy_50k_aligned_%,status
1,7.003641,9.42974,9.429729,2.4260883,34.64038670063019,32.74480143178343,17.240537466387366,changed
2,2.5177395,4.9658904,4.9658885,2.448149,97.23598957061768,4.231712858150001,4.781302956729833,changed
3,2.2499611,4.516212,4.516212,2.2662508,100.72399377822876,3.3794391116592846,3.95458552838401,exploded
4,2.0815604,4.4183846,4.418385,2.3368247,112.26311922073364,2.8924949910579887,3.7851182514016477,exploded
5,2.0048528,4.330837,4.3308363,2.3259835,116.01767539978027,2.683240268284317,3.6366028129983525,exploded
6,1.9475286,4.079119,4.0791206,2.131592,109.45112705230713,2.5319917184118386,3.2261565161848837,exploded
7,1.9137448,4.0377736,4.037777,2.124032,110.98825931549072,2.444908682803533,3.161090888242178,exploded
8,1.9036183,3.9541798,3.9541802,2.050562,107.7191710472107,2.4191029489468137,3.0315536449796983,exploded
9,1.8737603,3.7645671,3.7645674,1.890807,100.90975761413574,2.3438114868936895,2.7477833205279203,exploded
10,1.7957381,3.7168128,3.7168114,1.9210733,106.97959661483765,2.152685507610614,2.678510714162866,exploded
11,1.7736766,3.5798604,3.5798607,1.806184,101.83277130126953,2.1001169578916015,2.484760799113458,exploded
12,1.7376068,3.5035334,3.5035346,1.7659278,101.62988901138306,2.0155686242851614,2.379935270031184,exploded
13,1.6874229,3.4558542,3.4558544,1.7684315,104.80073690414429,1.900826399067708,2.3155982468043934,exploded
14,1.6653891,3.3432043,3.3432055,1.6778164,100.74621438980103,1.851509768367373,2.167097580739122,exploded
15,1.5771639,3.24061,3.2406108,1.6634469,105.47076463699341,1.6605358918751458,2.0361327757309162,exploded
16,1.5565628,3.1868746,3.186876,1.6303133,104.73803281784058,1.6174388712307013,1.9691676012950317,exploded
17,1.5174409,3.0872607,3.087262,1.569821,103.45187187194824,1.5371568050081885,1.847988590161974,exploded
18,1.4601474,3.0000882,3.0000877,1.5399404,105.46472072601318,1.4232722433594216,1.7450997102335826,exploded
19,1.450188,2.949448,2.9494493,1.4992613,103.3839225769043,1.4039228122674552,1.6866858641758915,exploded
20,1.3813372,2.881932,2.881932,1.5005949,108.63349437713623,1.2737787112834076,1.6103482262526625,exploded
21,1.3684236,2.858275,2.858276,1.4898523,108.87361764907837,1.2500739101573346,1.584019875653133,exploded
22,1.3328849,2.7902853,2.7902865,1.4574016,109.34189558029175,1.18598690339832,1.509558483283856,exploded
23,1.2899846,2.7748036,2.7748046,1.48482,115.10369777679443,1.110871008660816,1.492853338516661,exploded
24,1.2705044,2.6694372,2.669437,1.3989326,110.10844707489014,1.0775735152605492,1.3816297108963875,exploded
25,1.248744,2.612151,2.6121516,1.3634076,109.18231010437012,1.0409777069022563,1.3229672660065734,exploded
26,1.2172273,2.574985,2.5749843,1.357757,111.54506206512451,0.9890949602165072,1.2855871106321923,exploded
27,1.174884,2.477673,2.4776728,1.3027889,110.88659763336182,0.9214770915831174,1.1902556350926952,exploded
28,1.1211586,2.4147472,2.4147482,1.2935896,115.37971496582031,0.8391289361481244,1.130566294314463,exploded
29,1.1075096,2.3856814,2.3856812,1.2781715,115.40951728820801,0.8188221859959349,1.103512186459466,exploded
30,1.1018618,2.360469,2.3604693,1.2586075,114.22553062438965,0.8104922630107284,1.080311657673059,exploded
31,1.0757657,2.3303335,2.3303325,1.2545668,116.62081480026245,0.7725560567418088,1.0529024235832263,exploded
32,1.0433121,2.2860413,2.2860408,1.2427287,119.11380290985107,0.7266462858511654,1.0132585625603314,exploded
33,1.0117936,2.2465892,2.2465894,1.2347958,122.04028367996216,0.6834054845412649,0.978587702902965,exploded
34,1.001523,2.1447349,2.1447349,1.1432118,114.14734125137329,0.6696015687674514,0.891865893112055,exploded
35,0.9852933,2.110943,2.110943,1.1256497,114.24514055252075,0.648075609316682,0.8639833640418924,exploded
36,0.9603629,2.0420547,2.0420544,1.0816915,112.63362169265747,0.6156946093854329,0.8085129040329101,exploded
37,0.94603664,1.9989014,1.998901,1.0528643,111.29212379455566,0.5974622957206225,0.7747024139840198,exploded
38,0.89636827,1.959947,1.9599469,1.0635786,118.65420341491699,0.5363737769048744,0.7448021683804774,exploded
39,0.8940987,1.9324738,1.932474,1.0383754,116.13655090332031,0.5336610646294083,0.7240685117542951,exploded
40,0.87455124,1.91555,1.9155508,1.0409997,119.03244256973267,0.5105815398195417,0.7114423191209542,exploded
41,0.864688,1.8403407,1.8403411,0.9756531,112.83296346664429,0.4991297259978014,0.6566727291121999,exploded
42,0.83743745,1.8243155,1.824316,0.9868786,117.84504652023315,0.46816543934140803,0.6452863531979708,exploded
43,0.8049993,1.774361,1.7743611,0.96936184,120.41772603988647,0.43259907751182275,0.6104306989163071,exploded
44,0.7930149,1.6965631,1.6965636,0.9035487,113.93842697143555,0.4198143404010351,0.5580750735641025,exploded
45,0.7646649,1.6514502,1.6514511,0.8867862,115.9705638885498,0.39033445651353593,0.528790662295339,exploded
46,0.74488944,1.6269648,1.6269658,0.8820763,118.41708421707153,0.37040618097073064,0.513226604999903,exploded
47,0.739459,1.6003855,1.6003864,0.8609274,116.4266586303711,0.36502513053118457,0.49659464100987993,exploded
48,0.7081427,1.5505534,1.5505542,0.84241146,118.96069049835205,0.334762000626227,0.4661505634611545,exploded
49,0.6810865,1.466489,1.4664892,0.7854027,115.31615257263184,0.30966998408116597,0.41697505055594325,exploded
50,0.6704089,1.3948673,1.3948683,0.72445935,108.06231498718262,0.30003653439814104,0.37724085059381496,exploded
51,0.65809417,1.3488554,1.3488559,0.6907617,104.96395826339722,0.2891150343729589,0.35276331587185006,exploded
52,0.63948214,1.3002862,1.3002867,0.6608045,103.33431959152222,0.27299295045099536,0.3278162986399079,exploded
53,0.6320969,1.260775,1.2607752,0.6286783,99.45917129516602,0.26672387669196534,0.30819646661302613,changed
54,0.6240797,1.2162156,1.2162157,0.592136,94.88147497177124,0.26000081571893724,0.28679631479659967,changed
55,0.5996627,1.181188,1.1811883,0.5815256,96.97545170783997,0.24005386052731326,0.27051455712756795,changed
56,0.5816528,1.0941164,1.0941167,0.51246387,88.10476660728455,0.22585113034796953,0.23210239332261898,changed
57,0.5673812,1.0846502,1.0846504,0.5172692,91.16784334182739,0.2149039906280085,0.22810347101149386,changed
58,0.5516584,1.0712987,1.0712988,0.51964045,94.19605731964111,0.2031585247955197,0.22252233167455898,changed
59,0.5385508,0.97403383,0.9740339,0.4354831,80.8620274066925,0.19361898251716744,0.18395028794441715,changed
60,0.5106394,0.93669534,0.9366955,0.4260561,83.43579769134521,0.17406974136659406,0.17011758827488252,changed
61,0.49703813,0.91876674,0.9187671,0.42172897,84.84841585159302,0.16492025537877758,0.1636677831081932,changed
62,0.48183912,0.88997173,0.88997185,0.40813273,84.70311164855957,0.1549882258736866,0.15356946697956722,changed
63,0.46845192,0.85916823,0.8591684,0.3907165,83.40588808059692,0.146495617811917,0.14312283683935673,changed
64,0.4557939,0.84418035,0.84418046,0.38838658,85.21100878715515,0.13868566888649786,0.1381729183269167,changed
65,0.44396654,0.79512864,0.7951286,0.35116205,79.09651398658752,0.1315815713408545,0.12258210271769077,changed
66,0.43610504,0.75775903,0.75775915,0.3216541,73.75611066818237,0.12696289284064097,0.11133064300461729,changed
67,0.4323559,0.71176696,0.71176696,0.27941105,64.62523937225342,0.12478931279325373,0.09822634427739642,changed
68,0.40486145,0.68967825,0.6896787,0.28481728,70.34931778907776,0.10942270461881827,0.09222443377735536,changed
69,0.39230338,0.62545973,0.62545997,0.23315659,59.432727098464966,0.10273979300344589,0.07584926428358754,changed
70,0.3718786,0.58237135,0.58237135,0.21049276,56.60254955291748,0.09232024605144869,0.06575856748451406,changed
71,0.36029866,0.5733706,0.5733705,0.21307185,59.13756489753723,0.0866602413659136,0.06374161290863825,changed
72,0.353918,0.5584528,0.55845284,0.20453486,57.79159665107727,0.0836180163156895,0.060467964510395746,changed
73,0.3376826,0.5064213,0.50642115,0.16873854,49.969568848609924,0.07612231206892528,0.04972513864445749,changed
74,0.33005184,0.48772544,0.48772588,0.15767404,47.7725088596344,0.0727208433955676,0.046121555209524885,changed
75,0.32813296,0.4669141,0.46691397,0.13878101,42.29413866996765,0.07187772078276358,0.04226939849713274,changed
76,0.31217355,0.45939544,0.45939568,0.14722213,47.160348296165466,0.0650559144296565,0.04091910654444555,changed
77,0.3050523,0.4384769,0.43847698,0.13342467,43.738290667533875,0.06212168527189708,0.03727742712016699,changed
78,0.29591817,0.42432404,0.42432413,0.12840596,43.39238703250885,0.05845717819854484,0.03490983397152866,changed
79,0.28795537,0.416477,0.41647714,0.12852177,44.632530212402344,0.05535348475459879,0.03363060493136222,changed
80,0.2808234,0.40542427,0.4054245,0.124601096,44.369909167289734,0.05264549435461512,0.03186928542832508,changed
81,0.26976115,0.37742168,0.37742174,0.10766059,39.90959823131561,0.04857953856163049,0.027618885654081132,changed
