ratio,seed,iter,BRC_star_adapted,WRC_star,collapse_score,direction_diversity,effective_rank,norm_variance,row_norm_std,sigma_weight,token_spread
20,42,4000,0.032552,0.180148,0.542929,0.884073,75.772825,0.078849,0.280801,0.280801,0.113522
20,42,3000,0.022200,0.171668,0.473800,0.901744,75.655850,0.051047,0.225936,0.225936,0.107378
20,42,5000,0.052179,0.185925,0.662349,0.854648,75.446073,0.128872,0.358987,0.358987,0.119449
20,456,3000,0.026383,0.189530,0.513240,0.893101,75.359350,0.060910,0.246800,0.246800,0.108283
20,123,3000,0.027188,0.174450,0.528680,0.890150,75.342966,0.061258,0.247503,0.247503,0.107781
15,42,4000,0.035393,0.182230,0.568457,0.878574,75.279152,0.084957,0.291473,0.291473,0.113607
20,456,4000,0.042020,0.193646,0.617421,0.867325,75.270896,0.100307,0.316713,0.316713,0.114885
15,42,3000,0.022716,0.175148,0.480405,0.900456,75.267343,0.052076,0.228202,0.228202,0.107209
20,123,4000,0.047523,0.183098,0.669229,0.856233,75.145702,0.109268,0.330557,0.330557,0.114824
15,123,3000,0.028518,0.180262,0.540668,0.887621,75.100209,0.064395,0.253762,0.253762,0.107852
15,456,3000,0.026480,0.191725,0.512611,0.893287,75.091436,0.061576,0.248144,0.248144,0.108176
20,42,6000,0.071855,0.191079,0.755401,0.830436,75.076363,0.179575,0.423763,0.423763,0.124468
12,456,3000,0.026986,0.191782,0.517079,0.892338,75.012238,0.062826,0.250652,0.250652,0.108212
12,42,3000,0.025254,0.175785,0.504890,0.895199,75.009770,0.058068,0.240972,0.240972,0.107573
8,42,3000,0.024615,0.180605,0.493521,0.897574,74.999970,0.057752,0.240317,0.240317,0.107542
20,42,2000,0.011982,0.157377,0.388491,0.923111,74.994713,0.024283,0.155829,0.155829,0.097918
15,42,5000,0.053291,0.187423,0.671751,0.852717,74.982735,0.130916,0.361824,0.361824,0.119253
12,42,4000,0.038399,0.181227,0.589808,0.873750,74.963716,0.092508,0.304151,0.304151,0.114052
7,42,3000,0.024993,0.180835,0.498365,0.896548,74.959212,0.058365,0.241589,0.241589,0.107583
15,42,6000,0.060825,0.191308,0.693777,0.845243,74.949812,0.154480,0.393039,0.393039,0.123064
6,42,3000,0.026985,0.182753,0.516662,0.892570,74.947953,0.063094,0.251186,0.251186,0.107931
15,123,4000,0.048267,0.188421,0.672737,0.855429,74.933410,0.111465,0.333863,0.333863,0.114900
