accuracy,errors,error_rates,error_examples,ratio,seed,iteration
0.023333333333333334,"{'total': 300, 'correct': 7, 'skip_s2': 18, 'wrong_s2': 92, 'stuck_s2': 39, 'wrong_s3': 33, 'incomplete': 3, 'invalid': 108}","{'skip_s2': 0.06, 'wrong_s2': 0.30666666666666664, 'stuck_s2': 0.13, 'wrong_s3': 0.11, 'incomplete': 0.01, 'invalid': 0.36}","{'skip_s2': [{'s1': 19, 's3': 79, 'generated': [19, 79]}, {'s1': 21, 's3': 76, 'generated': [21, 76]}, {'s1': 22, 's3': 77, 'generated': [22, 77]}]}",0,123,50000
0.02666666666666667,"{'total': 300, 'correct': 8, 'skip_s2': 67, 'wrong_s2': 93, 'stuck_s2': 36, 'wrong_s3': 22, 'incomplete': 4, 'invalid': 70}","{'skip_s2': 0.22333333333333333, 'wrong_s2': 0.31, 'stuck_s2': 0.12, 'wrong_s3': 0.07333333333333333, 'incomplete': 0.013333333333333334, 'invalid': 0.23333333333333334}","{'skip_s2': [{'s1': 27, 's3': 82, 'generated': [27, 82]}, {'s1': 22, 's3': 78, 'generated': [22, 78]}, {'s1': 10, 's3': 85, 'generated': [10, 85]}]}",0,42,50000
0.04,"{'total': 300, 'correct': 12, 'skip_s2': 53, 'wrong_s2': 110, 'stuck_s2': 40, 'wrong_s3': 19, 'incomplete': 2, 'invalid': 64}","{'skip_s2': 0.17666666666666667, 'wrong_s2': 0.36666666666666664, 'stuck_s2': 0.13333333333333333, 'wrong_s3': 0.06333333333333334, 'incomplete': 0.006666666666666667, 'invalid': 0.21333333333333335}","{'skip_s2': [{'s1': 28, 's3': 80, 'generated': [28, 80]}, {'s1': 27, 's3': 82, 'generated': [27, 82]}, {'s1': 9, 's3': 78, 'generated': [9, 78]}]}",0,42,50000
0.05,"{'total': 300, 'correct': 15, 'skip_s2': 36, 'wrong_s2': 100, 'stuck_s2': 46, 'wrong_s3': 21, 'incomplete': 1, 'invalid': 81}","{'skip_s2': 0.12, 'wrong_s2': 0.3333333333333333, 'stuck_s2': 0.15333333333333332, 'wrong_s3': 0.07, 'incomplete': 0.0033333333333333335, 'invalid': 0.27}","{'skip_s2': [{'s1': 16, 's3': 89, 'generated': [16, 89]}, {'s1': 15, 's3': 88, 'generated': [15, 88]}, {'s1': 16, 's3': 80, 'generated': [16, 80]}]}",0,42,50000
0.023333333333333334,"{'total': 300, 'correct': 7, 'skip_s2': 32, 'wrong_s2': 122, 'stuck_s2': 33, 'wrong_s3': 35, 'incomplete': 3, 'invalid': 68}","{'skip_s2': 0.10666666666666667, 'wrong_s2': 0.4066666666666667, 'stuck_s2': 0.11, 'wrong_s3': 0.11666666666666667, 'incomplete': 0.01, 'invalid': 0.22666666666666666}","{'skip_s2': [{'s1': 24, 's3': 75, 'generated': [24, 75]}, {'s1': 27, 's3': 80, 'generated': [27, 80]}, {'s1': 8, 's3': 89, 'generated': [8, 89]}]}",0,456,50000
0.05,"{'total': 300, 'correct': 15, 'skip_s2': 6, 'wrong_s2': 186, 'stuck_s2': 2, 'wrong_s3': 1, 'incomplete': 7, 'invalid': 83}","{'skip_s2': 0.02, 'wrong_s2': 0.62, 'stuck_s2': 0.006666666666666667, 'wrong_s3': 0.0033333333333333335, 'incomplete': 0.023333333333333334, 'invalid': 0.27666666666666667}","{'skip_s2': [{'s1': 4, 's3': 81, 'generated': [4, 81]}, {'s1': 24, 's3': 80, 'generated': [24, 80]}, {'s1': 28, 's3': 86, 'generated': [28, 86]}]}",10,123,50000
0.07333333333333333,"{'total': 300, 'correct': 22, 'skip_s2': 5, 'wrong_s2': 185, 'stuck_s2': 0, 'wrong_s3': 0, 'incomplete': 3, 'invalid': 85}","{'skip_s2': 0.016666666666666666, 'wrong_s2': 0.6166666666666667, 'stuck_s2': 0.0, 'wrong_s3': 0.0, 'incomplete': 0.01, 'invalid': 0.2833333333333333}","{'skip_s2': [{'s1': 18, 's3': 72, 'generated': [18, 72]}, {'s1': 30, 's3': 64, 'generated': [30, 64]}, {'s1': 30, 's3': 64, 'generated': [30, 64]}]}",10,42,50000
0.07,"{'total': 300, 'correct': 21, 'skip_s2': 8, 'wrong_s2': 185, 'stuck_s2': 2, 'wrong_s3': 0, 'incomplete': 2, 'invalid': 82}","{'skip_s2': 0.02666666666666667, 'wrong_s2': 0.6166666666666667, 'stuck_s2': 0.006666666666666667, 'wrong_s3': 0.0, 'incomplete': 0.006666666666666667, 'invalid': 0.2733333333333333}","{'skip_s2': [{'s1': 19, 's3': 81, 'generated': [19, 81]}, {'s1': 20, 's3': 81, 'generated': [20, 81]}, {'s1': 30, 's3': 64, 'generated': [30, 64]}]}",10,42,50000
0.06666666666666667,"{'total': 300, 'correct': 20, 'skip_s2': 11, 'wrong_s2': 194, 'stuck_s2': 0, 'wrong_s3': 1, 'incomplete': 2, 'invalid': 72}","{'skip_s2': 0.03666666666666667, 'wrong_s2': 0.6466666666666666, 'stuck_s2': 0.0, 'wrong_s3': 0.0033333333333333335, 'incomplete': 0.006666666666666667, 'invalid': 0.24}","{'skip_s2': [{'s1': 27, 's3': 81, 'generated': [27, 81]}, {'s1': 18, 's3': 85, 'generated': [18, 85]}, {'s1': 8, 's3': 89, 'generated': [8, 89]}]}",10,456,50000
0.11,"{'total': 300, 'correct': 33, 'skip_s2': 10, 'wrong_s2': 164, 'stuck_s2': 5, 'wrong_s3': 1, 'incomplete': 10, 'invalid': 77}","{'skip_s2': 0.03333333333333333, 'wrong_s2': 0.5466666666666666, 'stuck_s2': 0.016666666666666666, 'wrong_s3': 0.0033333333333333335, 'incomplete': 0.03333333333333333, 'invalid': 0.25666666666666665}","{'skip_s2': [{'s1': 30, 's3': 79, 'generated': [30, 79]}, {'s1': 5, 's3': 78, 'generated': [5, 78]}, {'s1': 5, 's3': 78, 'generated': [5, 78]}]}",12,123,50000
