dim_idx,singular_value_1,singular_value_2,best_match_idx,angle_to_best_match,similarity,energy_ratio_1,energy_ratio_2,energy_ratio_change
0,16.773464,13.338779,0,51.626435365233505,0.62078613,0.39190088780615145,0.3566389124832334,-0.03526197532291808
1,10.349417,7.693862,1,45.876394883178534,0.6962086,0.14919781551394876,0.11865480329601037,-0.030543012217938384
2,4.9168873,3.445783,2,35.56009400640074,0.813506,0.033675280346330896,0.023799748413797766,-0.00987553193253313
3,4.313704,2.3740475,18,69.67510587310053,0.34734312,0.02591978531197232,0.011297318114772492,-0.014622467197199828
4,4.0240555,2.6875997,10,71.013324575402,0.32534826,0.022555820753061385,0.014478570925821228,-0.008077249827240156
5,3.9626474,2.9500794,6,70.86750239562636,0.3277538,0.021872659066876677,0.017444718483007913,-0.004427940583868764
6,3.773049,2.6875997,10,67.75967309831287,0.37849236,0.019829676646293426,0.014478570925821228,-0.005351105720472198
7,3.3681545,2.6087081,12,67.89012227156748,0.376384,0.015802097280905744,0.013641041527442594,-0.0021610557534631498
8,3.2688313,2.8206317,7,66.06328491598177,0.40572736,0.014883864859080415,0.01594737920886756,0.0010635143497871452
9,3.233469,2.6641994,11,65.75618347920337,0.41062045,0.014563579160026237,0.014227545398577646,-0.00033603376144859115
