dimension_index,principal_angle_degrees,angle_category
0,88.8254623413086,extreme
1,85.85948181152344,extreme
2,79.25806427001953,extreme
3,72.1468734741211,extreme
4,65.42597198486328,large
5,63.54819869995117,large
6,59.96769332885742,large
7,53.56214141845703,large
8,52.443359375,large
9,46.3213005065918,large
10,43.642757415771484,moderate
11,43.3453369140625,moderate
12,41.900413513183594,moderate
13,38.604618072509766,moderate
14,37.1275520324707,moderate
15,35.62118148803711,moderate
16,34.09733200073242,moderate
17,32.43231201171875,moderate
18,31.01437759399414,moderate
19,28.799917221069336,moderate
20,27.077592849731445,moderate
21,24.54018211364746,moderate
22,23.060388565063477,moderate
23,20.894668579101562,moderate
24,19.613523483276367,small
25,17.368791580200195,small
26,17.253673553466797,small
27,13.570549964904785,small
28,9.347686136607081e-05,very_small
29,8.916718797991052e-05,very_small
30,8.336742030223832e-05,very_small
31,8.011132740648463e-05,very_small
32,7.669523620279506e-05,very_small
33,7.443423965014517e-05,very_small
34,7.272634684341028e-05,very_small
35,7.153364276746288e-05,very_small
36,7.019099575700238e-05,very_small
37,6.907014903845266e-05,very_small
38,6.646917609032243e-05,very_small
39,6.58206336083822e-05,very_small
40,6.367516471073031e-05,very_small
41,6.211877916939557e-05,very_small
42,6.0777427279390395e-05,very_small
43,5.8903187891701236e-05,very_small
44,5.7725548685994e-05,very_small
45,5.5950589739950374e-05,very_small
46,5.3446947276825085e-05,very_small
47,5.3228188335197046e-05,very_small
48,5.246579894446768e-05,very_small
49,5.1019433158217e-05,very_small
50,4.999938391847536e-05,very_small
51,4.767733480548486e-05,very_small
52,4.6916054998291656e-05,very_small
53,4.645868102670647e-05,very_small
54,4.376413198770024e-05,very_small
55,4.331839954829775e-05,very_small
56,4.125716441194527e-05,very_small
57,4.093875759281218e-05,very_small
58,3.9957609260454774e-05,very_small
59,3.9629470848012716e-05,very_small
60,3.854210808640346e-05,very_small
61,3.757321246666834e-05,very_small
62,3.651392398751341e-05,very_small
63,3.574429138097912e-05,very_small
64,3.50828304362949e-05,very_small
65,3.292783003416844e-05,very_small
66,3.23888125421945e-05,very_small
67,3.1029201636556536e-05,very_small
68,2.9057302526780404e-05,very_small
69,2.8262849809834734e-05,very_small
70,2.7495339963934384e-05,very_small
71,2.7328695068717934e-05,very_small
72,2.7106700144940987e-05,very_small
73,2.5772436856641434e-05,very_small
74,2.50356115429895e-05,very_small
75,2.4512164600309916e-05,very_small
76,2.3063994376570918e-05,very_small
77,2.1710051441914402e-05,very_small
78,2.0815248717553914e-05,very_small
79,1.916875407914631e-05,very_small
80,1.857199822552502e-05,very_small
81,1.727492235659156e-05,very_small
82,0.0,
83,0.0,
84,0.0,
85,0.0,
86,0.0,
87,0.0,
88,0.0,
89,0.0,
90,0.0,
91,0.0,
