,count,mean,std,min,25%,50%,75%,max
ratio,2250.0,7.133333333333334,5.370240610550603,0.0,3.0,6.0,10.0,20.0
seed,2250.0,196.0,177.93951840406632,42.0,42.0,123.0,456.0,456.0
iter,2250.0,28833.333333333332,19077.927529172477,1000.0,14000.0,27000.0,41000.0,100000.0
BRC_star_adapted,2250.0,0.3723181297777778,0.18959932139495464,0.005289,0.23705025000000002,0.389855,0.5080837500000001,0.772332
WRC_star,2250.0,0.23713924533333333,0.041862101637586205,0.151225,0.2091645,0.2278955,0.255208,0.423449
collapse_score,2250.0,1.1420236066666665,0.23340077411460322,0.372573,1.09026825,1.2088395,1.2882395,1.475892
direction_diversity,2250.0,0.6775548111111112,0.08850356389637917,0.534897,0.61650825,0.6529305,0.7115765,0.92648
effective_rank,2250.0,68.61096122266666,3.255783235356354,60.994405,66.24841825,68.4033735,70.99639025,75.772825
norm_variance,2250.0,1.2659004768888888,0.7797754570669547,0.004519,0.660304,1.267716,1.7674435000000002,3.364018
row_norm_std,2250.0,1.0521875253333335,0.39858811508076203,0.067227,0.81259075,1.125929,1.3294525,1.834126
sigma_weight,2250.0,1.0521875253333335,0.39858811508076203,0.067227,0.81259075,1.125929,1.3294525,1.834126
token_spread,2250.0,0.17681964533333333,0.0363925929256724,0.07367,0.15521525,0.183597,0.2007255,0.267604
