ratio,seed,iter,success
12,42,0,0.0
12,42,1000,0.9
12,42,2000,0.96
12,42,3000,0.94
12,42,4000,0.94
12,42,5000,0.9
12,42,6000,0.98
12,42,7000,0.96
12,42,8000,0.96
12,42,9000,0.92
12,42,10000,0.98
12,42,11000,0.92
12,42,12000,0.96
12,42,13000,0.9
12,42,14000,1.0
12,42,15000,0.9
12,42,16000,0.9
12,42,17000,0.88
12,42,18000,0.96
12,42,19000,0.82
12,42,20000,0.88
12,42,21000,0.88
12,42,22000,0.92
12,42,23000,0.94
12,42,24000,0.94
12,42,25000,0.88
12,42,26000,0.9
12,42,27000,0.9
12,42,28000,0.9
12,42,29000,0.9
12,42,30000,0.9
12,42,31000,0.9
12,42,32000,0.92
12,42,33000,0.92
12,42,34000,0.92
12,42,35000,0.9
12,42,36000,0.94
12,42,37000,0.88
12,42,38000,0.88
12,42,39000,0.88
12,42,40000,0.88
12,42,41000,0.94
12,42,42000,0.92
12,42,43000,0.94
12,42,44000,0.9
12,42,45000,0.92
12,42,46000,0.9
12,42,47000,0.92
12,42,48000,0.92
12,42,49000,0.9
12,42,50000,0.92
5,42,0,0.0
5,42,1000,0.92
5,42,2000,0.82
5,42,3000,0.78
5,42,4000,0.78
5,42,5000,0.8
5,42,6000,0.82
5,42,7000,0.84
5,42,8000,0.82
5,42,9000,0.8
5,42,10000,0.76
5,42,11000,0.72
5,42,12000,0.76
5,42,13000,0.68
5,42,14000,0.72
5,42,15000,0.62
5,42,16000,0.66
5,42,17000,0.72
5,42,18000,0.7
5,42,19000,0.7
5,42,20000,0.7
5,42,21000,0.7
5,42,22000,0.66
5,42,23000,0.7
5,42,24000,0.7
5,42,25000,0.72
5,42,26000,0.76
5,42,27000,0.68
5,42,28000,0.76
5,42,29000,0.82
5,42,30000,0.82
5,42,31000,0.78
5,42,32000,0.78
5,42,33000,0.78
5,42,34000,0.84
5,42,35000,0.84
5,42,36000,0.88
5,42,37000,0.78
5,42,38000,0.8
5,42,39000,0.8
5,42,40000,0.82
5,42,41000,0.78
5,42,42000,0.84
5,42,43000,0.86
5,42,44000,0.82
5,42,45000,0.84
5,42,46000,0.78
5,42,47000,0.8
5,42,48000,0.86
5,42,49000,0.82
5,42,50000,0.86
8,123,0,0.0
8,123,1000,0.86
8,123,2000,0.92
8,123,3000,0.9
8,123,4000,0.9
8,123,5000,0.88
8,123,6000,0.86
8,123,7000,0.82
8,123,8000,0.9
8,123,9000,0.9
8,123,10000,0.8
8,123,11000,0.78
8,123,12000,0.82
8,123,13000,0.84
8,123,14000,0.78
8,123,15000,0.8
8,123,16000,0.82
8,123,17000,0.74
8,123,18000,0.8
8,123,19000,0.8
8,123,20000,0.82
8,123,21000,0.76
8,123,22000,0.88
8,123,23000,0.78
8,123,24000,0.84
8,123,25000,0.88
8,123,26000,0.78
8,123,27000,0.78
8,123,28000,0.76
8,123,29000,0.86
8,123,30000,0.76
8,123,31000,0.8
8,123,32000,0.78
8,123,33000,0.78
8,123,34000,0.78
8,123,35000,0.82
8,123,36000,0.74
8,123,37000,0.82
8,123,38000,0.82
8,123,39000,0.92
8,123,40000,0.8
8,123,41000,0.82
8,123,42000,0.86
8,123,43000,0.86
8,123,44000,0.84
8,123,45000,0.88
8,123,46000,0.86
8,123,47000,0.84
8,123,48000,0.82
8,123,49000,0.84
8,123,50000,0.84
7,123,0,0.0
7,123,1000,0.86
7,123,2000,0.84
7,123,3000,0.82
7,123,4000,0.86
7,123,5000,0.8
7,123,6000,0.82
7,123,7000,0.86
7,123,8000,0.84
7,123,9000,0.88
7,123,10000,0.86
7,123,11000,0.86
7,123,12000,0.78
7,123,13000,0.8
7,123,14000,0.78
7,123,15000,0.76
7,123,16000,0.78
7,123,17000,0.76
7,123,18000,0.72
7,123,19000,0.7
7,123,20000,0.76
7,123,21000,0.76
7,123,22000,0.72
7,123,23000,0.76
7,123,24000,0.82
7,123,25000,0.84
7,123,26000,0.8
7,123,27000,0.76
7,123,28000,0.8
7,123,29000,0.84
7,123,30000,0.76
7,123,31000,0.84
7,123,32000,0.9
7,123,33000,0.86
7,123,34000,0.82
7,123,35000,0.84
7,123,36000,0.84
7,123,37000,0.8
7,123,38000,0.84
7,123,39000,0.86
7,123,40000,0.84
7,123,41000,0.8
7,123,42000,0.8
7,123,43000,0.82
7,123,44000,0.84
7,123,45000,0.78
7,123,46000,0.84
7,123,47000,0.88
7,123,48000,0.88
7,123,49000,0.76
7,123,50000,0.92
0,456,0,0.0
0,456,1000,0.36
0,456,2000,0.78
0,456,3000,0.84
0,456,4000,0.7
0,456,5000,0.62
0,456,6000,0.68
0,456,7000,0.7
0,456,8000,0.6
0,456,9000,0.64
0,456,10000,0.64
0,456,11000,0.52
0,456,12000,0.54
0,456,13000,0.6
0,456,14000,0.64
0,456,15000,0.7
0,456,16000,0.76
0,456,17000,0.62
0,456,18000,0.68
0,456,19000,0.56
0,456,20000,0.58
0,456,21000,0.52
0,456,22000,0.54
0,456,23000,0.54
0,456,24000,0.7
0,456,25000,0.68
0,456,26000,0.56
0,456,27000,0.62
0,456,28000,0.6
0,456,29000,0.68
0,456,30000,0.66
0,456,31000,0.74
0,456,32000,0.62
0,456,33000,0.6
0,456,34000,0.64
0,456,35000,0.64
0,456,36000,0.6
0,456,37000,0.62
0,456,38000,0.58
0,456,39000,0.6
0,456,40000,0.56
0,456,41000,0.48
0,456,42000,0.46
0,456,43000,0.58
0,456,44000,0.5
0,456,45000,0.56
0,456,46000,0.4
0,456,47000,0.48
0,456,48000,0.46
0,456,49000,0.44
0,456,50000,0.4
9,42,0,0.0
9,42,1000,0.9
9,42,2000,0.9
9,42,3000,0.92
9,42,4000,0.94
9,42,5000,0.98
9,42,6000,0.92
9,42,7000,0.92
9,42,8000,0.92
9,42,9000,0.92
9,42,10000,0.86
9,42,11000,0.86
9,42,12000,0.8
9,42,13000,0.82
9,42,14000,0.9
9,42,15000,0.8
9,42,16000,0.84
9,42,17000,0.84
9,42,18000,0.82
9,42,19000,0.88
9,42,20000,0.84
9,42,21000,0.84
9,42,22000,0.82
9,42,23000,0.86
9,42,24000,0.86
9,42,25000,0.84
9,42,26000,0.82
9,42,27000,0.84
9,42,28000,0.88
9,42,29000,0.88
9,42,30000,0.9
9,42,31000,0.9
9,42,32000,0.92
9,42,33000,0.92
9,42,34000,0.92
9,42,35000,0.92
9,42,36000,0.9
9,42,37000,0.94
9,42,38000,0.82
9,42,39000,0.92
9,42,40000,0.9
9,42,41000,0.84
9,42,42000,0.86
9,42,43000,0.86
9,42,44000,0.84
9,42,45000,0.86
9,42,46000,0.86
9,42,47000,0.9
9,42,48000,0.9
9,42,49000,0.88
9,42,50000,0.88
15,42,0,0.0
15,42,1000,0.94
15,42,2000,0.92
15,42,3000,0.92
15,42,4000,0.94
15,42,5000,0.92
15,42,6000,0.98
15,42,7000,0.98
15,42,8000,0.98
15,42,9000,0.96
15,42,10000,0.96
15,42,11000,0.96
15,42,12000,0.96
15,42,13000,0.9
15,42,14000,0.92
15,42,15000,0.96
15,42,16000,0.96
15,42,17000,0.96
15,42,18000,0.94
15,42,19000,0.98
15,42,20000,0.94
15,42,21000,0.92
15,42,22000,0.94
15,42,23000,0.94
15,42,24000,0.96
15,42,25000,0.96
15,42,26000,0.92
15,42,27000,0.9
15,42,28000,0.96
15,42,29000,0.9
15,42,30000,0.92
15,42,31000,0.86
15,42,32000,0.94
15,42,33000,0.86
15,42,34000,0.9
15,42,35000,0.9
15,42,36000,0.94
15,42,37000,0.86
15,42,38000,0.92
15,42,39000,0.9
15,42,40000,0.9
15,42,41000,0.88
15,42,42000,0.92
15,42,43000,0.92
15,42,44000,0.88
15,42,45000,0.88
15,42,46000,0.92
15,42,47000,0.86
15,42,48000,0.9
15,42,49000,0.86
15,42,50000,0.88
5,123,0,0.0
5,123,1000,0.88
5,123,2000,0.82
5,123,3000,0.86
5,123,4000,0.76
5,123,5000,0.86
5,123,6000,0.8
5,123,7000,0.76
5,123,8000,0.78
5,123,9000,0.84
5,123,10000,0.8
5,123,11000,0.78
5,123,12000,0.8
5,123,13000,0.78
5,123,14000,0.8
5,123,15000,0.78
