Ratio (%),Success Rate,Direction Diversity,Row Norm Std,WRC*,Above 0.8 (%)
0,0.423 ± 0.070,0.620,1.488,0.567,0.0
1,0.603 ± 0.049,0.629,1.392,0.520,0.0
2,0.728 ± 0.052,0.616,1.427,0.549,13.3
3,0.805 ± 0.044,0.599,1.466,0.588,70.0
4,0.795 ± 0.048,0.568,1.560,0.677,60.0
5,0.839 ± 0.028,0.597,1.452,0.587,90.0
6,0.823 ± 0.052,0.595,1.454,0.590,76.7
7,0.794 ± 0.046,0.641,1.296,0.470,50.0
8,0.859 ± 0.033,0.614,1.365,0.529,100.0
9,0.851 ± 0.065,0.635,1.299,0.479,73.3
10,0.814 ± 0.068,0.597,1.405,0.570,60.0
12,0.873 ± 0.048,0.638,1.278,0.469,93.3
15,0.923 ± 0.033,0.650,1.236,0.438,100.0
20,0.913 ± 0.039,0.627,1.281,0.479,100.0
