test_type,row_similarity,col_similarity,effective_new_dims,col_diff_rank,col_diff_frobenius,coverage_2in1,coverage_1in2,grassmann_distance,spectral_distance,er1,er2,er_diff,description,seed1,iter1,seed2,iter2,ratio,seed,iter_initial,iter_current,stage,iter_0,iter_20
stability,1.0000004,1.0000004,28,28,4.605581,0.7694417797694303,0.7694414523311327,5.515976,0.18720362,72.56544,72.84701,0.28157043,"0% mix, ER≈72.5",42.0,5000.0,123.0,5000.0,,,,,,,
stability,1.0000004,1.0000004,28,28,4.6080413,0.769195328296388,0.7691950009350358,5.4708853,0.2351789,72.56544,72.86327,0.2978363,"0% mix, ER≈72.5",42.0,5000.0,456.0,5000.0,,,,,,,
stability,1.0000004,1.0000005,28,28,4.6331844,0.7666694308300972,0.7666694308300972,5.478675,0.056255557,72.84701,72.86327,0.01626587,"0% mix, ER≈72.5",123.0,5000.0,456.0,5000.0,,,,,,,
stability,1.0000005,1.0000004,28,28,4.591401,0.7708589870900165,0.7708589870900165,5.4902573,0.08892887,67.54373,67.50396,-0.039772034,"0% mix, ER≈67.5",42.0,17000.0,123.0,24000.0,,,,,,,
stability,1.0000007,1.0000002,28,28,4.615385,0.7684588255229059,0.7684588255229059,5.360715,0.06980105,67.54373,67.52309,-0.020645142,"0% mix, ER≈67.5",42.0,17000.0,456.0,27000.0,,,,,,,
stability,1.0000006,1.0000004,28,28,4.598296,0.7701702021241309,0.7701702021241309,5.329257,0.120116375,67.50396,67.52309,0.019126892,"0% mix, ER≈67.5",123.0,24000.0,456.0,27000.0,,,,,,,
stability,1.0000005,1.0000004,28,28,4.5604777,0.7739350383963992,0.7739353672369037,5.4754453,0.1439706,75.07637,74.58193,-0.49443817,"20% mix, ER≈74.5",42.0,6000.0,123.0,6000.0,,,,,,,
stability,1.0000004,1.0000002,28,28,4.5553045,0.7744476966233215,0.7744478506260132,5.539677,0.13433553,75.07637,74.52061,-0.55576324,"20% mix, ER≈74.5",42.0,6000.0,456.0,6000.0,,,,,,,
stability,1.0000005,1.0000005,28,28,4.6343145,0.7665557368926021,0.7665557368926021,5.3514323,0.035794996,74.58193,74.52061,-0.061325073,"20% mix, ER≈74.5",123.0,6000.0,456.0,6000.0,,,,,,,
stability,1.0000004,1.0000005,28,28,4.6065955,0.769340089770793,0.7693401112034148,5.5201426,0.041223,68.48129,68.54879,0.06749725,"20% mix, ER≈68.5",42.0,49000.0,123.0,43000.0,,,,,,,
stability,1.0000005,1.0000004,28,28,4.588927,0.7711060541566428,0.7711059008184986,5.4921603,0.09804218,68.48129,68.5944,0.113105774,"20% mix, ER≈68.5",42.0,49000.0,456.0,32000.0,,,,,,,
stability,1.0000005,1.0000005,28,28,4.5983896,0.7701611274387976,0.7701609529261421,5.3628416,0.07295099,68.54879,68.5944,0.04560852,"20% mix, ER≈68.5",123.0,43000.0,456.0,32000.0,,,,,,,
forgetting,1.0000005,1.0000004,20,20,1.4235754,0.9779720238002286,0.9779720238002286,2.2818038,1.0554882,73.674934,69.8808,-3.794136,,,,,,0.0,42.0,3000.0,10000.0,,,
forgetting,1.0000005,1.0000005,26,26,2.0747087,0.953212722701686,0.9532129122526539,2.8286827,1.2953502,73.674934,66.81682,-6.858116,,,,,,0.0,42.0,3000.0,20000.0,,,
forgetting,1.0000005,1.0000004,28,28,2.4319735,0.9357120172384568,0.9357120172384568,3.1368783,1.426454,73.674934,64.42726,-9.247673,,,,,,0.0,42.0,3000.0,30000.0,,,
forgetting,1.0000005,1.0000005,28,28,2.6493795,0.9237042605126139,0.9237042605126139,3.488217,1.5015081,73.674934,62.79227,-10.882664,,,,,,0.0,42.0,3000.0,40000.0,,,
forgetting,1.0000004,1.0000004,28,28,2.8799906,0.9098439888605975,0.9098437991814465,3.6143978,1.5283053,73.674934,61.66891,-12.006023,,,,,,0.0,42.0,3000.0,50000.0,,,
forgetting,1.0000004,1.0000008,17,17,1.2936978,0.9818077472020981,0.9818081394771174,2.6996105,1.3421258,75.65585,73.345406,-2.3104477,,,,,,20.0,42.0,3000.0,10000.0,,,
